Fall2021-2022(202210),11712,GEOL,101,1,TheEarth:PresentandPast,3,3,AS,21,4,0930,1045,POST,203,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ali,Haidar,,
Fall2021-2022(202210),11713,GEOL,102,1,EnvironmentPhysicalGeography,3,3,AS,15,10,1000,1050,POST,203,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Wisam,Khadra,,
Fall2021-2022(202210),11714,GEOL,201,1,PhysicalGeology,3,3,AS,20,5,1500,1615,POST,203,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A.,Abdel-Rahman,,
Fall2021-2022(202210),11715,GEOL,201,2,PhysicalGeology,3,3,AS,25,0,1100,1215,POST,207,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mohamed,Salah,,
Fall2021-2022(202210),11716,GEOL,204,1,DinosaursandLifeHistory,3,3,AS,28,2,1400,1515,POST,203,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ali,Haidar,,
Fall2021-2022(202210),11717,GEOL,205,1,EarthResources&Energy,3,3,AS,21,5,1300,1350,POST,203,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Raghida,Oueida,,
Fall2021-2022(202210),11718,GEOL,205,2,EarthResources&Energy,3,3,AS,17,8,1400,1450,POST,203,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Raghida,Oueida,,
Fall2021-2022(202210),11719,GEOL,206,1,PlanetaryGeology,3,3,AS,23,2,0930,1045,POST,210,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mohamed,Salah,,
Fall2021-2022(202210),11720,GEOL,206,2,PlanetaryGeology,3,3,AS,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,
Fall2021-2022(202210),11721,GEOL,212,1,OpticalMineralogy,3,3,AS,5,7,0900,1050,POST,210,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A.,Abdel-Rahman,,
Fall2021-2022(202210),11722,GEOL,221,1,Petrology,3,3,AS,4,8,1100,1250,POST,210,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A.,Abdel-Rahman,,
Fall2021-2022(202210),11723,GEOL,222,1,Sedimentology,3,3,AS,8,4,1400,1550,POST,210,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ali,Haidar,,
Fall2021-2022(202210),11724,GEOL,225,1,PetroleumGeology,3,3,AS,1,11,1100,1215,POST,203,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ali,Haidar,,
Fall2021-2022(202210),11725,GEOL,290A,1,WaterinAChangingWorld,3,3,AS,8,2,0900,0950,POST,207,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Joanna,Doummar,,
Fall2021-2022(202210),11726,GEOL,318,1,Hydrogeology,3,3,AS,3,3,1000,1300,POST,203,.,.,.,.,.,S,.,.,.,.,.,.,.,.,.,.,.,.,Joanna,Doummar,,
